process_name,upload_kbps,download_kbps
FileCoAuth.exe,109.36865234375,2151.7685546875
SearchHost.exe,516.1845703125,5643.755859375
msedge.exe,1292.4755859375,2141.5595703125
svchost.exe,0.0,15.24365234375
msedgewebview2.exe,7948.66552734375,5466.42529296875
opera.exe,2117446.8251953125,211614.9462890625
NVIDIA Overlay.exe,722.08251953125,567.88232421875
Code.exe,45674.7822265625,4790.2392578125
svchost.exe,6044.3203125,1124.2587890625
ms-teams.exe,2526.09716796875,5014.34326171875
msedgewebview2.exe,0.1640625,0.1640625
opera.exe,11.72265625,1.7109375
opera.exe,176.68359375,0.0
svchost.exe,3651.1552734375,35065.60791015625
SearchHost.exe,0.0703125,0.1015625
opera.exe,0.109375,0.2421875
opera.exe,1059002.3696289062,105971.55126953125
opera.exe,265.6376953125,42.416015625
SearchHost.exe,0.4375,0.328125
opera.exe,141.341796875,46.583984375
NVIDIA Overlay.exe,1.28759765625,0.23828125
SearchHost.exe,40.21875,20.1015625
opera.exe,73.474609375,94.0498046875
msedge.exe,0.0,0.0625
opera.exe,146.185546875,0.0
ProxiFyre.exe,9.310546875,169.59765625
Discord.exe,305.54296875,4145.28515625
opera.exe,42.955078125,72.5419921875
SearchHost.exe,229.0908203125,392.2421875
Discord.exe,553.96826171875,594.9208984375
opera.exe,41.4169921875,8.021484375
NVIDIA Overlay.exe,0.2548828125,0.0
SearchHost.exe,61.265625,33.0166015625
Discord.exe,0.45703125,1.9453125
SearchHost.exe,0.4921875,0.0
Discord.exe,0.12890625,1.671875
ProxiFyre.exe,9.310546875,169.59765625
Discord.exe,7.224609375,314.79541015625
Discord.exe,227.11865234375,3.87109375
opera.exe,3.15234375,0.421875
SearchHost.exe,27.40234375,17.3203125
ProxiFyre.exe,7.19189453125,84.798828125
svchost.exe,0.0,17.79541015625
Discord.exe,466.646484375,3863.07763671875
Discord.exe,7045.28955078125,5948.2197265625
opera.exe,59.3359375,19.14453125
SearchHost.exe,28.89453125,18.265625
ProxiFyre.exe,2.1875,0.0
Discord.exe,45.76318359375,275.32666015625
Discord.exe,71.8544921875,845.513671875
